created_at;author.username;text
21-08-2016 14:51;FloresGump_;Marchando #NoMasAFP https://t.co/h4KzYRLKCD
21-08-2016 14:50;FelipeAraos;muchamuchamucha gente en la marcha #NOMasAFP :)
21-08-2016 14:46;Zombiexfreak;#nomasafp por favor :( https://t.co/QWIzxVsfe2
21-08-2016 14:43;pablo_videla;#NOMasAFP mucha gente https://t.co/v3KIPuKuE0
21-08-2016 14:35;IgnacioAchurra;Somos millones #NOMasAFP https://t.co/4ncqkfI9wF
21-08-2016 14:31;La_tana23;@tjholt @Carloscampant ustedes hablan puras weas...#NOMasAFP
21-08-2016 14:17;VersionFlow;#NOMasAFP como ht universal ??
21-08-2016 14:16;MarceAbedrapo;Marchando junto a @clauarredondom @David_Peralta_C   #nomasafp https://t.co/HaNftZnwhS
21-08-2016 14:15;mancillaortiz;#nomasAFP @santiagoadicto #Chile @ Plaza Los Heroes https://t.co/dSOVochqTY
21-08-2016 14:13;mavargasa;#NOMasAFP muchos y muchas marchando. @fedcolprof @colesociologos https://t.co/9bqpJDE3nt
21-08-2016 14:00;CarpobM;Marcha Stgo! #NOMasAFP + https://t.co/PrbwL38CN7
21-08-2016 14:00;Carlossassarini;Todas las generaciones  #NOMasAFP https://t.co/x7Y0x4b6kq Imagen Twitter
21-08-2016 13:54;CoordMagallanes;A LAS 15:00 hrs #Natales dice #NOMasAFP https://t.co/fsoZEICH5u
21-08-2016 13:54;yoongienmiau;¿Se entiende? #NOMasAFP !! https://t.co/WcJN1XwkSE
21-08-2016 13:49;_Cloandrea_;#NOMasAFP ?????? somos millones https://t.co/CdDAMI1YGR
21-08-2016 13:34;shergio_h;#NOMasAFP por favor ??
21-08-2016 13:27;frankandalaft;#Talca junto a todo #Chile dice #NoMasRobos #NoMasAFP #INDIGNADOS… https://t.co/s5FoEGB69v
21-08-2016 13:22;Euquenita;#NOMasAFP Somos Miles!!! https://t.co/tbdF4mQl8q
21-08-2016 13:19;Patiperros_20;#ChilenosEnElExtranjero Muchos apoyando #NOMasAFP @eldesconcierto @chileconvoca @SinFiltroCL  https://t.co/Qq1StOAvxr
21-08-2016 13:17;PauPauFran;Mucha gente marchando!! En #Antofagasta #NOMasAFP https://t.co/P8Ywc2wwIA
21-08-2016 13:15;dhiro73;Interminable!! ??Bien Chile! #NoMasAFP https://t.co/rDotuOPYrs
21-08-2016 13:12;patovalenzuelab;#NOMasAFP Me da susto conectarme a @Tinder https://t.co/8B7CdMVspG
21-08-2016 13:08;berniap;Somos muchos en Stgo #NOMasAFP https://t.co/mmcaSYkfSk
21-08-2016 13:07;Maportil;Marchando #NOMasAFP https://t.co/FRHE7ku6qd
21-08-2016 13:02;Marceaguas;#NOMasAFP mucha gente defilando. https://t.co/T40DIQWjpg
21-08-2016 12:55;DerechoIguales;Marchando con todo #NOMasAFP @fakundorios @Lari_Caipillan https://t.co/EzuNSCnkFL
21-08-2016 12:45;patovalenzuelab;Mucha mucha gente.  #NOMasAFP https://t.co/dDSMQxLaFE
21-08-2016 12:44;piratachile;#NOMasAFP stgo bailando https://t.co/o17d9EmSfZ
21-08-2016 12:44;RominaMellaP;Marchando !!! #NOMasAFP @GallardoGo https://t.co/cMtbtpeNpG
21-08-2016 12:33;Claudiagros;Somos muchos marchando en #Rancagua     #NOMasAFP https://t.co/Rh4msYMC44
21-08-2016 12:32;zippoaries;Somos miles!!! #NOMasAFP https://t.co/a9E5jVIrmI
21-08-2016 12:32;IndignadosChile;Somos miles!!!! #NOMasAFP https://t.co/ShgSVH8xqP
21-08-2016 12:20;ArkeroValpo;#NOMasAFP  chuchasdesumadre https://t.co/4wojbFduS8
21-08-2016 12:14;CataSzigeti;Los candidatos de @RD_NUNOA marchando firme #NOMasAFP ? https://t.co/0XI6TM0V3K
21-08-2016 12:10;Mark_UC_;Grande Chileee ???? #NOMasAFP
21-08-2016 12:09;joc_orellana;Marchando por #nomasafp con @cdiazram https://t.co/IXh0pZ7TAh
